,category,short_description,date
3265,QUEER VOICES,much hate continually aimed lesbian gay bisexual transgender community like take moment every,2012-10-13
3266,QUEER VOICES,latest video relationships speak effectively figure time move relationship name love describe know stuff ends partners begins well unique challenges come gay men comes drawing distinction,2015-02-03
3267,QUEER VOICES,might thinking amelia isnt going go anywhere california like going become law right doesnt take away fact thousands people country like mr mclaughlin think bullet head exactly son deserves,2015-03-28
3268,QUEER VOICES,secretary defense ash carter said weve reached era transgender service members could serve openly,2015-07-30
3269,QUEER VOICES,,2015-06-20
3270,QUEER VOICES,controversial rightwing pundit got put place comment harveys devastation houston,2017-09-04
3271,QUEER VOICES,ultracreep man cloth course mark driscoll went online rampage church chat board 2000 sht resurfaced man crazy regular old crazy fullon bat sht hold hat papas got brand new bag crazy,2014-09-10
3272,QUEER VOICES,much hate continually aimed lesbian gay bisexual transgender community like take moment every,2013-11-10
3273,QUEER VOICES,big queer wellness stories,2016-06-14
3274,QUEER VOICES,jeff sessions also repeatedly defend racist comments hes made throughout entire career,2017-01-10
3275,QUEER VOICES,new york week rainy day rural tennessee county matt griffin raymie wolfe group 50 supporters,2013-01-12
3276,QUEER VOICES,children like like without limits based gender,2016-09-10
3277,QUEER VOICES,love cure quarantines,2017-10-23
3278,QUEER VOICES,new yorks fortysecond gay pride parade took place sunday drawing tens thousands lgbt people allies,2012-07-01
3279,QUEER VOICES,,2015-05-17
3280,MEDIA,2to1 cnn msnbc fox news,2016-10-11
3281,MEDIA,,2016-06-19
3282,MEDIA,jesse ventura former governor minnesota 19992003 hot media commodity bushcheney administration,2017-07-18
3283,QUEER VOICES,conversation word tranny word generally considered dehumanizing offensive referring transgender people headlines last week story dj mister cee daily beast interview jared leto,2013-09-21
3284,MEDIA,weinsteins lawyer says times ignored facts movie mogul never denied allegations sexual harassment,2017-10-05
3285,QUEER VOICES,thousands signed petition calling lamberts singapore performance canceled,2015-11-28
3286,MEDIA,earlymorning hours february 15 2014 ray rice fiancée janay palmer stepped elevator,2016-02-15
3287,QUEER VOICES,,2014-06-29
3288,QUEER VOICES,sixth night lautoka fijis annual sugar festival theyre crowning queen sugar queen thats tomorrow night priscilla queen winner series competitions transgender contestants raise awareness transgender gay community,2012-08-25
3289,QUEER VOICES,transgender male wrestler secondstraight texas girls 6a 110pound division title sunday mack beggs,2018-03-01
3290,QUEER VOICES,north carolinas discriminatory hb2 law doesnt hurt trans peopleit affects people disabilities recent weeks,2016-05-23
3291,QUEER VOICES,help vanquish thirst hate one sip,2016-04-13
3292,QUEER VOICES,cant fathom world want defend treating anyone reason differently,2017-10-08
3293,QUEER VOICES,community still struggling communicate hiv treat hiv positive especially evident way accustomed asking guys disclose hiv status online remained largely unchanged since advent profilebased websites 20 years ago,2014-12-01
3294,QUEER VOICES,see fantasy repeated often becomes truth step,2016-12-04
3295,QUEER VOICES,heres alternative safety pin youve wearing,2016-11-16
3296,QUEER VOICES,7 days left pull impossible,2016-12-14
3297,QUEER VOICES,los angeles youth network individual,2016-08-26
3298,QUEER VOICES,genderneutral pronoun used many lgbtq community,2017-03-28
3299,MEDIA,supercut shows broadcasters across nation reading script,2018-04-02
3300,MEDIA,large fine could bolster critics broadcasting behemoth,2017-12-15
3301,QUEER VOICES,read lgbt travel options las vegas check lgbt travel experts picks 2013s top destinations clarification,2013-01-21
3302,QUEER VOICES,jin xing chinas popular tv hostess many things life dance prodigy prima ballerina decorated colonel,2016-11-06
3303,MEDIA,thanks booming trade press lobbyists insiders know whats happening government rest country,2015-11-04
3304,QUEER VOICES,least nine states two dozen municipalities banned potentially harmful treatment,2018-01-10
3305,MEDIA,longer reality tv show editorial said,2017-01-26
3306,QUEER VOICES,wants turn site sanctuary hope,2016-12-05
3307,QUEER VOICES,waited 36 years get married judge made difference kind wedding 3 decades,2016-06-26
3308,QUEER VOICES,show aimed depict lgbt stories musical showstoppers,2016-03-24
3309,QUEER VOICES,isaac reed iii realized religious upbringing stopped embracing,2017-08-14
3310,MEDIA,thought unfair make example behar said senator lot say return,2018-01-29
3311,QUEER VOICES,daryl metcalfes war words fellow state rep brian sims ongoing years,2018-04-22
3312,QUEER VOICES,tom goss dedicates new song anybody whos ever felt like outsider,2017-12-21
3313,MEDIA,los angeles ca new york ny icm partners one worlds preeminent talent literary agencies today announced,2018-04-12
3314,QUEER VOICES,dont want know money going,2015-11-27
3315,MEDIA,cases like holmes tsarnaev ask ordinary citizens go beyond assumptions biases manage conflicting emotions take difficult task determining punishment two heinous crimes cry retribution,2015-04-28
3316,QUEER VOICES,bogota first time countrys history top colombian court awarded adoption rights homosexual man,2012-05-27
3317,QUEER VOICES,americans think representation minority interests politics mathematical equation rather continual effort endemic realizing promise american democracy country likely never see day women created equal,2013-02-02
3318,QUEER VOICES,honorthemwithaction,2017-06-12
3319,QUEER VOICES,yesterday may 4 friend dominique beaudry walking international civil rights museum greensboro state capitol fourday journey 85 miles wearing sandwich boards encourage north carolinians vote amendment 1,2012-05-05
3320,QUEER VOICES,principal shot another location,2016-04-13
3321,QUEER VOICES,planet full filth sick humans owner said,2017-05-29
3322,MEDIA,watch sparks fly,2017-08-04
3323,QUEER VOICES,could learn lot unapologetic approach sexuality,2016-12-26
3324,QUEER VOICES,may 22 2012 large crowd gathered corner center street formerly known blaine ave san diego unveiling nations first harvey milk street named first openly gay man ever elected public office united states,2012-05-26
3325,QUEER VOICES,eggplants anymore,2017-02-16
3326,QUEER VOICES,weekend bring round either worst lgbt moments previous week know thine enemy feature,2012-03-03
3327,MEDIA,blamed rise hypertension leave comes top npr editor resigned sexual harassment allegations came light,2017-11-07
3328,QUEER VOICES,previously shared experiences gay high school levitz utilizes video tackle culture,2014-02-09
3329,QUEER VOICES,,2015-03-12
3330,QUEER VOICES,,2015-05-24
3331,QUEER VOICES,began question financial improprieties says national policy local chapters,2012-04-22
3332,MEDIA,intrusions detected recent months,2016-08-23
3333,QUEER VOICES,mum love set singapore traditional nation lgbt people enjoy limited rights,2016-09-17
3334,MEDIA,,2014-09-26
3335,MEDIA,,2014-08-18
3336,QUEER VOICES,started one short film 54year love story two men became series 10minute documentary portraits telling six diverse stories lgbtq love love thats missing landscape stereotypes comic relief victims,2013-02-09
3337,QUEER VOICES,transgender woman erykah tijerina found dead apartment el paso texas monday kfox14 reports tijerina,2016-08-10
3338,QUEER VOICES,halloween perfect time year watch horror movie find little gay subtext slasher flick,2015-10-24
3339,QUEER VOICES,new york cbsnewyork police looking man nearly killed transgender woman beating queens around,2015-12-01
3340,QUEER VOICES,talk awkward,2016-01-05
3341,MEDIA,thats nickname acquired first scene shoot effects boobytrapped cars native lebanons civil war,2015-06-07
3342,QUEER VOICES,biggest lgbtq wellness stories week,2017-10-03
3343,MEDIA,comedian trumped wig cheetos dust,2015-12-11
3344,QUEER VOICES,claims christian pundits gays caused hurricane sandy got thinking special powers gay community actually immeasurable contributions weve made fabric society culture every city state country continent,2012-11-03
3345,QUEER VOICES,absolutely beautiful,2015-08-24
3346,QUEER VOICES,,2014-11-20
3347,QUEER VOICES,legendary actor singer dancer back road,2017-09-15
3348,QUEER VOICES,national lgbtq day giving raised 3 million since launched 2013,2017-04-19
3349,QUEER VOICES,wanted know fashion door would open boys got older gained freedom wear whatever wanted needed know men defied notion sameness boredom wore harry hung every word,2014-02-08
3350,QUEER VOICES,historically probably familiar ordinances like people gay bars required wear least three,2016-02-28
3351,QUEER VOICES,,2015-06-28
3352,MEDIA,breitbart news fired telling truth islam muslim immigration claims,2017-06-05
3353,MEDIA,jeffrey toobin said new revelations spell bad news president,2018-04-04
3354,QUEER VOICES,lone woman stood supreme court steps ranting homosexuality destroying country become expired parody lost relevance millions like become ghosts moment knew knew,2015-06-26
3355,QUEER VOICES,get behindthescenes look jonathan groff company october,2016-09-13
3356,QUEER VOICES,4 funny fruits judy gold hilarious judy gold returns another episode funny fruits talks,2013-05-04
3357,MEDIA,greta van susteren given opportunity write something ive wanted explore depth time,2017-06-12
3358,QUEER VOICES,come find love small screen,2016-10-13
3359,QUEER VOICES,laid groundwork number queer cultural figures,2016-12-27
3360,QUEER VOICES,small screen wont super moms way,2016-03-25
3361,MEDIA,editorial board says unseemly judge simply cannot senator,2017-11-14
3362,QUEER VOICES,aaron austin rhodes say viral 2015 clip lifechanging,2018-01-16
3363,QUEER VOICES,,2014-08-19
3364,QUEER VOICES,move may displease mainly roman catholic country,2017-12-17
3365,QUEER VOICES,,2015-01-22
3366,QUEER VOICES,feel states hb 2 replacement still problematic,2017-07-21
3367,QUEER VOICES,,2014-04-25
3368,QUEER VOICES,way rihanna reportedly wrote loyal fan,2016-04-18
3369,QUEER VOICES,beautiful event,2016-05-06
3370,MEDIA,al jazeera qatari owned company reporting american faults concentration negative side american life sit well,2014-05-29
3371,QUEER VOICES,stars political commentary runs amiss,2016-12-07
3372,QUEER VOICES,weekly queer wellness roundup,2016-03-30
3373,QUEER VOICES,teen opened caitlyns transition,2015-11-30
3374,MEDIA,working correct problem soon possible,2017-06-06
